Energy (keV),Nuclide,Intensity_percent
46.54,210Pb,4.25
53.23,214Pb,1.06
53.44,73mGe,10.34
63.28,234Th,4.8
67.7,230Th,0.38
81.23,231Th,0.9
92.58,234Th,5.58
99.6,228Ac,1.37
109.16,235U,1.54
112.81,234Th,0.28
113.1,227Th,0.74
122.32,223Ra,1.19
129.06,228Ac,2.42
143.76,235U,10.96
154.2,223Ra,5.59
159.7,77mGe,10.33
163.33,235U,5.08
185.72,235U,57.2
186.21,226Ra,3.55
174.95,keV,205.31
209.26,228Ac,3.89
216.0,228Th,0.3
226.8,234Pa,11.4
236.0,227Th,11.65
238.63,212Pb,43.6
240.89,224Ra,4.12
242.0,214Pb,7.26
256.0,227Th,7.6
269.49,223Ra,13.7
270.24,228Ac,3.46
271.2,219Rn,9.9
277.37,208Tl,2.37
295.22,214Pb,18.5
299.98,227Th,2.16
300.07,231Pa,2.47
300.09,212Pb,3.18
302.7,231Pa,2.24
323.3,223Ra,3.9
328.0,228Ac,2.95
330.1,231Pa,1.31
338.28,223Ra,2.79
338.32,228Ac,11.27
351.06,211Bi,12.91
351.93,214Pb,35.6
401.7,219Rn,6.64
404.8,211Pb,3.83
409.46,228Ac,1.92
416.86,116mIn,27.7
427.0,211Pb,1.72
444.9,223Ra,1.27
447.6,7Be,10.44
452.83,212Bi,0.36
462.0,214Pb,0.21
463.0,228Ac,4.4
510.7,208Tl,6.29
527.9,115Cd,27.5
549.7,220Rn,0.1
569.7,207mPb,97.87
570.82,228Ac,0.18
583.19,208Tl,30.6
609.31,214Bi,45.49
661.66,137Cs,84.99
726.86,228Ac,0.62
727.33,212Bi,6.74
755.31,228Ac,1.0
768.36,214Bi,4.89
794.95,228Ac,4.25
806.17,214Bi,1.26
832.01,211Pb,3.52
835.71,228Ac,1.61
839.04,214Pb,0.58
843.76,27Mg,71.8
860.56,208Tl,4.48
911.2,228Ac,25.8
934.06,214Bi,3.09
964.77,228Ac,4.99
968.97,228Ac,15.8
1001.03,234mPa,1.02
1063.66,207mPb,88.5
1097.3,116In,56.2
1120.29,214Bi,14.9
1155.19,214Bi,1.63
1173.23,60Co,99.85
1238.11,214Bi,5.82
1293.54,116In,84.4
1332.49,60Co,99.98
1377.67,214Bi,3.96
1407.98,214Bi,2.38
1459.14,228Ac,0.83
1460.82,40K,10.66
1588.2,228Ac,3.22
1620.74,212Bi,1.51
1630.63,228Ac,1.51
1729.6,214Bi,2.84
1764.49,214Bi,15.28
1847.42,214Bi,2.02
2204.21,214Bi,4.91
2614.51,208Tl,35.85
