Jan 01, 2004  01:35:57 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   4.57E-010, 
  1.10,   7.45E-010, 
  1.20,   3.16E-009, 
  1.30,   1.01E-007, 
  1.40,   6.01E-008, 
  1.50,   1.12E-008, 
  1.60,   1.11E-008, 
  1.70,   2.34E-008, 
  1.80,   6.52E-008, 
  1.90,   9.81E-008, 
  2.00,   1.17E-007, 
  2.10,   1.13E-007, 
  2.20,   1.03E-007, 
  2.30,   7.91E-008, 
  2.40,   2.67E-008, 
  2.50,   3.31E-009, 
  2.60,   1.29E-009, 
  2.70,   6.60E-010, 
  2.80,   4.59E-010, 
  2.90,   4.24E-010, 
  3.00,   4.85E-010, 
  3.10,   5.33E-010, 
  3.20,   5.37E-010, 
  3.30,   5.15E-010, 
  3.40,   3.66E-010, 
  3.50,   1.42E-010, 
  3.60,   3.98E-011, 
  3.70,   5.14E-012, 
  3.80,   1.54E-011, 
  3.90,   3.28E-011, 
  4.00,   4.05E-011, 
  4.10,   8.48E-011, 
  4.20,   8.55E-011, 
  4.30,   1.05E-010, 
  4.40,   8.10E-011, 
  4.50,   4.88E-011, 
  4.60,   1.80E-011, 
  4.70,  -2.70E-011, 
  4.80,  -3.60E-011, 
  4.90,  -2.70E-011, 
  5.00,  -3.73E-011, 
  5.10,  -1.16E-011, 
  5.20,  -1.80E-011, 
  5.30,  -3.86E-011, 
  5.40,  -6.49E-011, 
  5.50,  -6.81E-011, 
  5.60,  -5.40E-011, 
  5.70,  -3.60E-011, 
  5.80,   7.07E-012, 
  5.90,   3.28E-011, 
  6.00,   3.66E-011, 
  6.10,   1.86E-011, 
  6.20,   1.93E-011, 
  6.30,  -2.25E-011, 
  6.40,  -3.15E-011, 
  6.50,  -9.00E-012, 
  6.60,   6.43E-013, 
  6.70,  -5.78E-012, 
  6.80,  -1.41E-011, 
  6.90,  -8.35E-012, 
  7.00,  -3.53E-011, 
  7.10,  -5.14E-012, 
  7.20,  -2.38E-011, 
  7.30,  -9.64E-012, 
  7.40,   1.29E-012, 
  7.50,   2.51E-011, 
  7.60,   3.98E-011, 
  7.70,   2.83E-011, 
  7.80,  -1.29E-012, 
  7.90,  -6.43E-013, 
  8.00,   6.43E-013, 
  8.10,   5.78E-012, 
  8.20,  -1.93E-012, 
  8.30,   1.35E-011, 
  8.40,   5.91E-011, 
  8.50,   8.10E-011, 
  8.60,   1.03E-010, 
  8.70,   1.03E-010, 
  8.80,   8.16E-011, 
  8.90,   7.84E-011, 
  9.00,   6.17E-011, 
  9.10,   1.03E-011, 
  9.20,  -2.25E-011, 
  9.30,  -2.51E-011, 
  9.40,  -8.35E-012, 
  9.50,   1.74E-011, 
  9.60,   2.19E-011, 
  9.70,   9.00E-012, 
  9.80,  -1.93E-012, 
  9.90,   1.67E-011, 
 10.00,   8.35E-012, 
 10.10,  -2.89E-011, 
 10.20,  -2.06E-011, 
 10.30,   1.41E-011, 
 10.40,   6.43E-013, 
 10.50,  -7.07E-012, 
 10.60,   1.93E-012, 
 10.70,   1.93E-012, 
 10.80,   0.00E+000, 
 10.90,  -2.57E-012, 
 11.00,   2.57E-012, 
 11.10,   1.29E-012, 
 11.20,   3.15E-011, 
 11.30,   8.29E-011, 
 11.40,   9.38E-011, 
 11.50,   1.68E-010, 
 11.60,   5.26E-010, 
 11.70,   2.80E-009, 
 11.80,   7.77E-009, 
 11.90,   1.09E-008, 
 12.00,   1.23E-008, 
 12.10,   1.29E-008, 
 12.20,   1.13E-008, 
 12.30,   7.22E-009, 
 12.40,   2.19E-009, 
 12.50,   9.67E-010, 
 12.60,   6.30E-010, 
 12.70,   1.03E-009, 
 12.80,   2.22E-009, 
 12.90,   3.22E-009, 
 13.00,   3.96E-009, 
 13.10,   4.25E-009, 
 13.20,   3.99E-009, 
 13.30,   3.06E-009, 
 13.40,   1.57E-009, 
 13.50,   1.23E-009, 
 13.60,   2.60E-009, 
 13.70,   1.76E-008, 
 13.80,   3.50E-008, 
 13.90,   4.09E-008, 
 14.00,   4.29E-008, 
 14.10,   4.37E-008, 
 14.20,   3.76E-008, 
 14.30,   2.00E-008, 
 14.40,   3.48E-009, 
 14.50,   1.63E-009, 
 14.60,   1.77E-009, 
 14.70,   6.92E-009, 
 14.80,   2.02E-008, 
 14.90,   2.56E-008, 
 15.00,   2.73E-008, 
 15.10,   2.85E-008, 
 15.20,   2.51E-008, 
 15.30,   1.71E-008, 
 15.40,   4.33E-009, 
 15.50,   2.76E-009, 
 15.60,   6.55E-009, 
 15.70,   4.27E-008, 
 15.80,   7.67E-008, 
 15.90,   9.05E-008, 
 16.00,   9.27E-008, 
 16.10,   9.33E-008, 
 16.20,   8.02E-008, 
 16.30,   4.08E-008, 
 16.40,   6.95E-009, 
 16.50,   8.31E-009, 
 16.60,   3.36E-008, 
 16.70,   1.71E-007, 
 16.80,   2.58E-007, 
 16.90,   2.95E-007, 
 17.00,   2.93E-007, 
 17.10,   2.94E-007, 
 17.20,   2.56E-007, 
 17.30,   1.10E-007, 
 17.40,   1.52E-008, 
 17.50,   3.06E-008, 
 17.60,   1.23E-007, 
 17.70,   5.59E-007, 
 17.80,   8.56E-007, 
 17.90,   1.00E-006, 
 18.00,   9.92E-007, 
 18.10,   9.99E-007, 
 18.20,   8.70E-007, 
 18.30,   3.46E-007, 
 18.40,   1.05E-008, 
 18.50,   2.90E-009, 
 18.60,   1.70E-009, 
 18.70,   2.73E-009, 
 18.80,   5.68E-009, 
 18.90,   8.01E-009, 
 19.00,   8.84E-009, 
 19.10,   8.93E-009, 
 19.20,   8.24E-009, 
 19.30,   5.56E-009, 
 19.40,   1.92E-009, 
