Jan 01, 2004  03:45:07 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   9.32E-009, 
  1.10,   1.26E-008, 
  1.20,   1.93E-008, 
  1.30,   5.57E-008, 
  1.40,   3.72E-008, 
  1.50,   3.49E-008, 
  1.60,   3.32E-008, 
  1.70,   5.27E-008, 
  1.80,   1.14E-007, 
  1.90,   1.70E-007, 
  2.00,   2.10E-007, 
  2.10,   2.42E-007, 
  2.20,   2.20E-007, 
  2.30,   1.74E-007, 
  2.40,   2.82E-008, 
  2.50,   3.31E-009, 
  2.60,   1.10E-009, 
  2.70,   3.79E-010, 
  2.80,   1.25E-010, 
  2.90,   3.53E-011, 
  3.00,   7.13E-011, 
  3.10,   7.84E-011, 
  3.20,   8.48E-011, 
  3.30,   3.34E-011, 
  3.40,  -6.88E-011, 
  3.50,  -2.21E-010, 
  3.60,  -2.81E-010, 
  3.70,  -3.25E-010, 
  3.80,  -3.16E-010, 
  3.90,  -2.70E-010, 
  4.00,  -2.65E-010, 
  4.10,  -2.83E-010, 
  4.20,  -2.58E-010, 
  4.30,  -2.53E-010, 
  4.40,  -2.97E-010, 
  4.50,  -2.65E-010, 
  4.60,  -2.33E-010, 
  4.70,  -2.24E-010, 
  4.80,  -2.13E-010, 
  4.90,  -1.81E-010, 
  5.00,  -1.84E-010, 
  5.10,  -1.68E-010, 
  5.20,  -1.36E-010, 
  5.30,  -1.31E-010, 
  5.40,  -1.36E-010, 
  5.50,  -1.24E-010, 
  5.60,  -1.20E-010, 
  5.70,  -1.24E-010, 
  5.80,  -1.12E-010, 
  5.90,  -1.18E-010, 
  6.00,  -8.10E-011, 
  6.10,  -6.11E-011, 
  6.20,  -7.52E-011, 
  6.30,  -6.17E-011, 
  6.40,  -9.00E-011, 
  6.50,  -7.20E-011, 
  6.60,  -6.94E-011, 
  6.70,  -8.16E-011, 
  6.80,  -3.02E-011, 
  6.90,  -4.76E-011, 
  7.00,  -4.50E-011, 
  7.10,  -3.02E-011, 
  7.20,  -3.41E-011, 
  7.30,  -4.50E-011, 
  7.40,  -6.75E-011, 
  7.50,  -5.46E-011, 
  7.60,  -2.70E-011, 
  7.70,  -8.35E-012, 
  7.80,  -2.63E-011, 
  7.90,  -4.37E-011, 
  8.00,  -1.93E-011, 
  8.10,  -1.54E-011, 
  8.20,   1.80E-011, 
  8.30,   1.99E-011, 
  8.40,   3.02E-011, 
  8.50,   4.82E-011, 
  8.60,   4.63E-011, 
  8.70,   5.46E-011, 
  8.80,   3.41E-011, 
  8.90,  -9.64E-012, 
  9.00,  -5.14E-011, 
  9.10,  -6.17E-011, 
  9.20,  -3.86E-011, 
  9.30,  -4.69E-011, 
  9.40,  -4.18E-011, 
  9.50,  -2.89E-011, 
  9.60,  -1.29E-011, 
  9.70,   2.25E-011, 
  9.80,   2.51E-011, 
  9.90,   1.09E-011, 
 10.00,  -3.21E-011, 
 10.10,  -1.80E-011, 
 10.20,  -2.12E-011, 
 10.30,  -6.43E-012, 
 10.40,  -1.16E-011, 
 10.50,   2.76E-011, 
 10.60,   3.79E-011, 
 10.70,   4.56E-011, 
 10.80,   1.09E-011, 
 10.90,   3.21E-011, 
 11.00,   4.88E-011, 
 11.10,   6.81E-011, 
 11.20,   1.34E-010, 
 11.30,   2.89E-010, 
 11.40,   4.75E-010, 
 11.50,   1.03E-009, 
 11.60,   4.52E-009, 
 11.70,   2.19E-008, 
 11.80,   3.11E-008, 
 11.90,   3.60E-008, 
 12.00,   4.00E-008, 
 12.10,   3.70E-008, 
 12.20,   2.88E-008, 
 12.30,   7.42E-009, 
 12.40,   2.15E-009, 
 12.50,   1.28E-009, 
 12.60,   1.58E-009, 
 12.70,   4.09E-009, 
 12.80,   7.50E-009, 
 12.90,   9.44E-009, 
 13.00,   1.18E-008, 
 13.10,   1.30E-008, 
 13.20,   1.42E-008, 
 13.30,   1.45E-008, 
 13.40,   3.12E-008, 
 13.50,   9.98E-008, 
 13.60,   4.68E-007, 
 13.70,   1.16E-006, 
 13.80,   1.40E-006, 
 13.90,   1.51E-006, 
 14.00,   1.64E-006, 
 14.10,   1.50E-006, 
 14.20,   9.80E-007, 
 14.30,   5.87E-008, 
 14.40,   1.28E-008, 
 14.50,   1.59E-008, 
 14.60,   4.68E-008, 
 14.70,   1.49E-007, 
 14.80,   1.98E-007, 
 14.90,   2.18E-007, 
 15.00,   2.44E-007, 
 15.10,   2.29E-007, 
 15.20,   1.85E-007, 
 15.30,   3.49E-008, 
 15.40,   1.18E-008, 
 15.50,   3.10E-008, 
 15.60,   1.57E-007, 
 15.70,   3.59E-007, 
 15.80,   4.29E-007, 
 15.90,   4.68E-007, 
 16.00,   4.90E-007, 
 16.10,   4.52E-007, 
 16.20,   2.82E-007, 
 16.30,   2.32E-008, 
 16.40,   8.86E-009, 
 16.50,   2.16E-008, 
 16.60,   1.13E-007, 
 16.70,   2.65E-007, 
 16.80,   3.19E-007, 
 16.90,   3.36E-007, 
 17.00,   3.59E-007, 
 17.10,   3.40E-007, 
 17.20,   2.35E-007, 
 17.30,   2.74E-008, 
 17.40,   2.81E-008, 
 17.50,   8.74E-008, 
 17.60,   4.12E-007, 
 17.70,   9.83E-007, 
 17.80,   1.21E-006, 
 17.90,   1.28E-006, 
 18.00,   1.38E-006, 
 18.10,   1.30E-006, 
 18.20,   8.29E-007, 
 18.30,   4.07E-008, 
 18.40,   5.58E-009, 
 18.50,   2.49E-009, 
 18.60,   2.55E-009, 
 18.70,   6.31E-009, 
 18.80,   1.03E-008, 
 18.90,   1.18E-008, 
 19.00,   1.30E-008, 
 19.10,   1.25E-008, 
 19.20,   1.07E-008, 
