Jan 01, 2004  02:07:10 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   1.06E-007, 
 30.10,   9.63E-008, 
 30.20,   7.28E-008, 
 30.30,   1.49E-008, 
 30.40,   2.58E-009, 
 30.50,   1.14E-009, 
 30.60,   7.64E-010, 
 30.70,   6.90E-010, 
 30.80,   8.19E-010, 
 30.90,   1.04E-009, 
 31.00,   1.18E-009, 
 31.10,   1.34E-009, 
 31.20,   1.46E-009, 
 31.30,   1.52E-009, 
 31.40,   3.35E-009, 
 31.50,   7.00E-009, 
 31.60,   3.21E-008, 
 31.70,   1.09E-007, 
 31.80,   1.52E-007, 
 31.90,   1.59E-007, 
 32.00,   1.61E-007, 
 32.10,   1.41E-007, 
 32.20,   1.07E-007, 
 32.30,   1.95E-008, 
 32.40,   2.82E-009, 
 32.50,   1.15E-009, 
 32.60,   5.89E-010, 
 32.70,   3.62E-010, 
 32.80,   3.05E-010, 
 32.90,   2.28E-010, 
 33.00,   2.08E-010, 
 33.10,   2.57E-010, 
 33.20,   2.40E-010, 
 33.30,   1.20E-010, 
 33.40,   5.53E-011, 
 33.50,  -2.57E-012, 
 33.60,   1.22E-011, 
 33.70,   1.56E-010, 
 33.80,   3.37E-010, 
 33.90,   4.79E-010, 
 34.00,   5.62E-010, 
 34.10,   5.55E-010, 
 34.20,   5.12E-010, 
 34.30,   3.26E-010, 
 34.40,   1.15E-010, 
 34.50,   1.80E-011, 
 34.60,   9.00E-012, 
 34.70,   4.95E-011, 
 34.80,   1.06E-010, 
 34.90,   2.56E-010, 
 35.00,   2.80E-010, 
 35.10,   2.83E-010, 
 35.20,   2.54E-010, 
 35.30,   8.16E-011, 
 35.40,   4.31E-011, 
 35.50,   4.24E-011, 
 35.60,   1.02E-010, 
 35.70,   3.65E-010, 
 35.80,   5.92E-010, 
 35.90,   7.21E-010, 
 36.00,   8.73E-010, 
 36.10,   9.17E-010, 
 36.20,   8.62E-010, 
 36.30,   5.35E-010, 
 36.40,   2.78E-010, 
 36.50,   4.50E-011, 
 36.60,   6.43E-012, 
 36.70,   1.67E-011, 
 36.80,   4.43E-011, 
 36.90,   1.09E-010, 
 37.00,   1.20E-010, 
 37.10,   1.27E-010, 
 37.20,   1.18E-010, 
 37.30,   6.56E-011, 
 37.40,  -1.22E-011, 
 37.50,   3.21E-012, 
 37.60,   3.41E-011, 
 37.70,   1.21E-010, 
 37.80,   2.96E-010, 
 37.90,   3.76E-010, 
 38.00,   4.31E-010, 
 38.10,   4.46E-010, 
 38.20,   4.51E-010, 
 38.30,   3.80E-010, 
 38.40,   2.78E-010, 
 38.50,   2.35E-010, 
 38.60,   4.16E-010, 
 38.70,   1.27E-009, 
 38.80,   2.56E-009, 
 38.90,   3.45E-009, 
 39.00,   3.96E-009, 
 39.10,   4.01E-009, 
 39.20,   3.45E-009, 
 39.30,   2.07E-009, 
 39.40,   1.43E-009, 
 39.50,   1.73E-009, 
 39.60,   5.31E-009, 
 39.70,   2.15E-008, 
 39.80,   3.22E-008, 
 39.90,   3.30E-008, 
 40.00,   3.55E-008, 
 40.10,   3.23E-008, 
 40.20,   2.13E-008, 
 40.30,   6.36E-009, 
 40.40,   3.95E-009, 
 40.50,   6.11E-009, 
 40.60,   2.52E-008, 
 40.70,   7.30E-008, 
 40.80,   1.03E-007, 
 40.90,   1.04E-007, 
 41.00,   1.17E-007, 
 41.10,   1.30E-007, 
