Jan 01, 2004  02:51:53 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 55.00,   6.66E-010, 
 55.10,   7.02E-010, 
 55.20,   6.55E-010, 
 55.30,   4.37E-010, 
 55.40,   2.01E-010, 
 55.50,   1.03E-010, 
 55.60,   1.13E-010, 
 55.70,   2.92E-010, 
 55.80,   5.85E-010, 
 55.90,   9.65E-010, 
 56.00,   1.34E-009, 
 56.10,   1.55E-009, 
 56.20,   1.51E-009, 
 56.30,   1.01E-009, 
 56.40,   5.05E-010, 
 56.50,   2.26E-010, 
 56.60,   6.88E-011, 
 56.70,   2.12E-011, 
 56.80,   1.29E-011, 
 56.90,   4.11E-011, 
 57.00,   9.64E-011, 
 57.10,   1.50E-010, 
 57.20,   1.85E-010, 
 57.30,   9.45E-011, 
 57.40,   3.79E-011, 
 57.50,   2.51E-011, 
 57.60,   1.93E-011, 
 57.70,   4.31E-011, 
 57.80,   1.09E-010, 
 57.90,   1.59E-010, 
 58.00,   2.74E-010, 
 58.10,   2.97E-010, 
 58.20,   2.94E-010, 
 58.30,   2.04E-010, 
 58.40,   8.35E-011, 
 58.50,   5.21E-011, 
 58.60,   1.35E-011, 
 58.70,   5.78E-012, 
 58.80,   1.54E-011, 
 58.90,   2.57E-011, 
 59.00,   2.38E-011, 
 59.10,   3.08E-011, 
 59.20,   3.92E-011, 
 59.30,   1.86E-011, 
 59.40,   3.08E-011, 
 59.50,   2.76E-011, 
 59.60,   5.27E-011, 
 59.70,   5.14E-011, 
 59.80,   2.12E-011, 
 59.90,   2.76E-011, 
 60.00,   6.62E-011, 
 60.10,   7.01E-011, 
 60.20,   2.70E-011, 
 60.30,   4.63E-011, 
 60.40,   4.50E-011, 
 60.50,   5.59E-011, 
 60.60,   2.12E-011, 
 60.70,   3.53E-011, 
 60.80,   2.76E-011, 
 60.90,   6.56E-011, 
 61.00,   6.23E-011, 
 61.10,   7.33E-011, 
 61.20,   9.70E-011, 
 61.30,   9.32E-011, 
 61.40,   7.97E-011, 
 61.50,   1.84E-010, 
 61.60,   4.42E-010, 
 61.70,   1.40E-009, 
 61.80,   2.53E-009, 
 61.90,   3.65E-009, 
 62.00,   3.95E-009, 
 62.10,   3.49E-009, 
 62.20,   2.10E-009, 
 62.30,   9.95E-010, 
 62.40,   6.31E-010, 
 62.50,   5.91E-010, 
 62.60,   8.08E-010, 
 62.70,   1.82E-009, 
 62.80,   3.18E-009, 
 62.90,   4.90E-009, 
 63.00,   6.16E-009, 
 63.10,   7.05E-009, 
 63.20,   7.03E-009, 
 63.30,   8.59E-009, 
 63.40,   1.39E-008, 
 63.50,   2.10E-008, 
 63.60,   3.87E-008, 
 63.70,   7.96E-008, 
 63.80,   1.01E-007, 
 63.90,   1.36E-007, 
 64.00,   1.79E-007, 
 64.10,   3.52E-007, 
 64.20,   7.73E-007, 
 64.30,   9.78E-007, 
 64.40,   1.18E-006, 
 64.50,   1.10E-006, 
 64.60,   7.03E-007, 
 64.70,   2.78E-007, 
 64.80,   1.73E-007, 
 64.90,   2.22E-007, 
 65.00,   2.44E-007, 
 65.10,   3.29E-007, 
 65.20,   6.07E-007, 
 65.30,   7.93E-007, 
 65.40,   1.05E-006, 
 65.50,   1.03E-006, 
 65.60,   7.94E-007, 
 65.70,   7.90E-007, 
 65.80,   8.35E-007, 
 65.90,   1.05E-006, 
 66.00,   1.04E-006, 
 66.10,   6.64E-007, 
 66.20,   1.83E-007, 
 66.30,   1.66E-008, 
 66.40,   1.68E-008, 
 66.50,   3.02E-008, 
 66.60,   9.46E-008, 
 66.70,   2.66E-007, 
 66.80,   3.45E-007, 
 66.90,   4.26E-007, 
 67.00,   4.04E-007, 
 67.10,   2.52E-007, 
 67.20,   7.37E-008, 
 67.30,   1.16E-008, 
 67.40,   1.31E-008, 
 67.50,   2.42E-008, 
 67.60,   7.75E-008, 
 67.70,   2.29E-007, 
 67.80,   2.96E-007, 
 67.90,   3.56E-007, 
 68.00,   3.34E-007, 
 68.10,   2.09E-007, 
 68.20,   6.58E-008, 
 68.30,   5.38E-009, 
 68.40,   1.79E-009, 
 68.50,   9.05E-010, 
 68.60,   4.78E-010, 
