Jan 01, 2004  03:38:25 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   7.07E-011, 
  1.10,   1.31E-010, 
  1.20,   7.87E-010, 
  1.30,   1.49E-008, 
  1.40,   6.44E-009, 
  1.50,   3.36E-009, 
  1.60,   2.63E-009, 
  1.70,   4.12E-009, 
  1.80,   1.30E-008, 
  1.90,   2.65E-008, 
  2.00,   3.23E-008, 
  2.10,   3.29E-008, 
  2.20,   3.02E-008, 
  2.30,   2.18E-008, 
  2.40,   6.48E-009, 
  2.50,   1.74E-009, 
  2.60,   7.27E-010, 
  2.70,   4.00E-010, 
  2.80,   2.09E-010, 
  2.90,   7.26E-011, 
  3.00,   6.11E-011, 
  3.10,   8.93E-011, 
  3.20,   1.01E-010, 
  3.30,   8.29E-011, 
  3.40,   4.18E-011, 
  3.50,   1.86E-011, 
  3.60,   5.59E-011, 
  3.70,   6.36E-011, 
  3.80,   2.44E-011, 
  3.90,   2.31E-011, 
  4.00,   4.56E-011, 
  4.10,   3.98E-011, 
  4.20,   5.27E-011, 
  4.30,   4.82E-011, 
  4.40,   2.12E-011, 
  4.50,  -2.57E-012, 
  4.60,  -1.29E-012, 
  4.70,   9.00E-012, 
  4.80,  -5.14E-012, 
  4.90,  -3.79E-011, 
  5.00,   3.86E-012, 
  5.10,   2.12E-011, 
  5.20,  -8.35E-012, 
  5.30,  -3.15E-011, 
  5.40,  -1.93E-011, 
  5.50,  -2.19E-011, 
  5.60,  -4.56E-011, 
  5.70,  -4.37E-011, 
  5.80,  -1.99E-011, 
  5.90,  -4.50E-012, 
  6.00,  -1.93E-011, 
  6.10,  -1.93E-012, 
  6.20,   1.80E-011, 
  6.30,  -2.31E-011, 
  6.40,  -2.70E-011, 
  6.50,  -2.57E-012, 
  6.60,  -6.43E-013, 
  6.70,  -1.54E-011, 
  6.80,  -3.08E-011, 
  6.90,  -2.76E-011, 
  7.00,  -5.08E-011, 
  7.10,  -7.65E-011, 
  7.20,  -7.52E-011, 
  7.30,  -6.43E-011, 
  7.40,  -4.11E-011, 
  7.50,  -3.73E-011, 
  7.60,  -7.71E-012, 
  7.70,   2.31E-011, 
  7.80,   3.53E-011, 
  7.90,   3.02E-011, 
  8.00,   3.28E-011, 
  8.10,   8.35E-012, 
  8.20,  -5.78E-012, 
  8.30,   1.22E-011, 
  8.40,   6.43E-013, 
  8.50,   4.56E-011, 
  8.60,   8.42E-011, 
  8.70,   4.82E-011, 
  8.80,   2.51E-011, 
  8.90,  -7.07E-012, 
  9.00,  -1.67E-011, 
  9.10,   2.25E-011, 
  9.20,   1.41E-011, 
  9.30,  -2.31E-011, 
  9.40,   1.86E-011, 
  9.50,   2.96E-011, 
  9.60,   0.00E+000, 
  9.70,   3.86E-012, 
  9.80,  -2.63E-011, 
  9.90,   4.50E-012, 
 10.00,  -1.09E-011, 
 10.10,  -2.38E-011, 
 10.20,  -2.76E-011, 
 10.30,  -5.59E-011, 
 10.40,  -4.88E-011, 
 10.50,  -2.63E-011, 
 10.60,  -5.14E-012, 
 10.70,  -1.48E-011, 
 10.80,  -2.76E-011, 
 10.90,  -2.63E-011, 
 11.00,  -5.40E-011, 
 11.10,  -3.98E-011, 
 11.20,  -4.88E-011, 
 11.30,  -5.98E-011, 
 11.40,  -3.98E-011, 
 11.50,  -2.06E-011, 
 11.60,   1.02E-010, 
 11.70,   7.36E-010, 
 11.80,   1.52E-009, 
 11.90,   2.13E-009, 
 12.00,   2.56E-009, 
 12.10,   2.66E-009, 
 12.20,   2.29E-009, 
 12.30,   1.25E-009, 
 12.40,   5.42E-010, 
 12.50,   2.40E-010, 
 12.60,   1.22E-010, 
 12.70,   1.43E-010, 
 12.80,   2.35E-010, 
 12.90,   3.01E-010, 
 13.00,   3.31E-010, 
 13.10,   3.61E-010, 
 13.20,   3.14E-010, 
 13.30,   2.70E-010, 
 13.40,   2.39E-010, 
 13.50,   5.22E-010, 
 13.60,   2.33E-009, 
 13.70,   1.55E-008, 
 13.80,   2.47E-008, 
 13.90,   2.74E-008, 
 14.00,   2.88E-008, 
 14.10,   2.61E-008, 
 14.20,   1.87E-008, 
 14.30,   4.82E-009, 
 14.40,   1.48E-009, 
 14.50,   7.47E-010, 
 14.60,   5.78E-010, 
 14.70,   1.16E-009, 
 14.80,   2.23E-009, 
 14.90,   2.97E-009, 
 15.00,   3.41E-009, 
 15.10,   3.52E-009, 
 15.20,   3.08E-009, 
 15.30,   1.83E-009, 
 15.40,   9.91E-010, 
 15.50,   9.81E-010, 
 15.60,   2.82E-009, 
 15.70,   1.58E-008, 
 15.80,   2.49E-008, 
 15.90,   2.71E-008, 
 16.00,   2.76E-008, 
 16.10,   2.59E-008, 
 16.20,   1.87E-008, 
 16.30,   5.19E-009, 
 16.40,   2.40E-009, 
 16.50,   3.17E-009, 
 16.60,   1.71E-008, 
 16.70,   6.76E-008, 
 16.80,   8.83E-008, 
 16.90,   9.14E-008, 
 17.00,   9.22E-008, 
 17.10,   8.24E-008, 
 17.20,   5.22E-008, 
 17.30,   8.81E-009, 
 17.40,   5.25E-009, 
 17.50,   1.27E-008, 
 17.60,   7.61E-008, 
 17.70,   2.45E-007, 
 17.80,   3.03E-007, 
 17.90,   3.14E-007, 
 18.00,   3.12E-007, 
 18.10,   2.79E-007, 
 18.20,   1.68E-007, 
 18.30,   1.25E-008, 
 18.40,   2.50E-009, 
 18.50,   1.15E-009, 
 18.60,   7.67E-010, 
 18.70,   9.89E-010, 
 18.80,   1.45E-009, 
 18.90,   1.85E-009, 
 19.00,   1.98E-009, 
 19.10,   2.01E-009, 
 19.20,   1.71E-009, 
