Jan 01, 2004  04:27:55 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.08E-008, 
  1.10,   1.46E-008, 
  1.20,   2.45E-008, 
  1.30,   1.16E-007, 
  1.40,   6.99E-008, 
  1.50,   4.47E-008, 
  1.60,   4.22E-008, 
  1.70,   6.56E-008, 
  1.80,   1.60E-007, 
  1.90,   2.65E-007, 
  2.00,   3.31E-007, 
  2.10,   3.93E-007, 
  2.20,   3.75E-007, 
  2.30,   3.10E-007, 
  2.40,   6.38E-008, 
  2.50,   4.87E-009, 
  2.60,   1.45E-009, 
  2.70,   5.52E-010, 
  2.80,   3.20E-010, 
  2.90,   4.15E-010, 
  3.00,   5.55E-010, 
  3.10,   7.28E-010, 
  3.20,   7.74E-010, 
  3.30,   7.36E-010, 
  3.40,   2.99E-010, 
  3.50,  -6.94E-011, 
  3.60,  -2.38E-010, 
  3.70,  -3.14E-010, 
  3.80,  -3.47E-010, 
  3.90,  -3.28E-010, 
  4.00,  -3.01E-010, 
  4.10,  -2.99E-010, 
  4.20,  -2.82E-010, 
  4.30,  -2.64E-010, 
  4.40,  -2.80E-010, 
  4.50,  -2.99E-010, 
  4.60,  -2.93E-010, 
  4.70,  -2.40E-010, 
  4.80,  -2.09E-010, 
  4.90,  -1.98E-010, 
  5.00,  -1.97E-010, 
  5.10,  -1.62E-010, 
  5.20,  -1.31E-010, 
  5.30,  -1.47E-010, 
  5.40,  -1.68E-010, 
  5.50,  -1.21E-010, 
  5.60,  -1.55E-010, 
  5.70,  -1.92E-010, 
  5.80,  -1.52E-010, 
  5.90,  -1.25E-010, 
  6.00,  -9.64E-011, 
  6.10,  -9.13E-011, 
  6.20,  -1.39E-010, 
  6.30,  -1.59E-010, 
  6.40,  -1.45E-010, 
  6.50,  -1.05E-010, 
  6.60,  -8.55E-011, 
  6.70,  -1.54E-011, 
  6.80,  -2.89E-011, 
  6.90,  -2.51E-011, 
  7.00,   3.66E-011, 
  7.10,   1.18E-010, 
  7.20,   2.57E-011, 
  7.30,   1.54E-011, 
  7.40,  -8.35E-012, 
  7.50,  -3.02E-011, 
  7.60,  -5.85E-011, 
  7.70,  -4.56E-011, 
  7.80,  -5.40E-011, 
  7.90,  -2.63E-011, 
  8.00,  -2.12E-011, 
  8.10,   7.71E-012, 
  8.20,   1.80E-011, 
  8.30,   7.33E-011, 
  8.40,   1.63E-010, 
  8.50,   3.34E-011, 
  8.60,   4.11E-011, 
  8.70,   4.95E-011, 
  8.80,   4.18E-011, 
  8.90,   1.93E-011, 
  9.00,   1.93E-012, 
  9.10,  -2.96E-011, 
  9.20,  -5.14E-011, 
  9.30,  -6.75E-011, 
  9.40,  -5.21E-011, 
  9.50,  -4.88E-011, 
  9.60,  -1.22E-011, 
  9.70,  -1.41E-011, 
  9.80,  -4.56E-011, 
  9.90,  -4.18E-011, 
 10.00,  -1.09E-011, 
 10.10,   2.38E-011, 
 10.20,   4.05E-011, 
 10.30,   7.07E-012, 
 10.40,   2.25E-011, 
 10.50,   1.99E-011, 
 10.60,   6.43E-012, 
 10.70,   2.83E-011, 
 10.80,   1.80E-011, 
 10.90,   3.98E-011, 
 11.00,   1.04E-010, 
 11.10,   1.97E-010, 
 11.20,   2.78E-010, 
 11.30,   3.98E-010, 
 11.40,   8.65E-010, 
 11.50,   2.57E-009, 
 11.60,   1.58E-008, 
 11.70,   4.84E-008, 
 11.80,   5.76E-008, 
 11.90,   6.41E-008, 
 12.00,   7.05E-008, 
 12.10,   6.81E-008, 
 12.20,   4.89E-008, 
 12.30,   8.67E-009, 
 12.40,   3.18E-009, 
 12.50,   3.76E-009, 
 12.60,   1.61E-008, 
 12.70,   5.40E-008, 
 12.80,   7.20E-008, 
 12.90,   8.54E-008, 
 13.00,   1.02E-007, 
 13.10,   9.52E-008, 
 13.20,   6.93E-008, 
 13.30,   2.37E-008, 
 13.40,   4.37E-008, 
 13.50,   1.42E-007, 
 13.60,   6.65E-007, 
 13.70,   1.57E-006, 
 13.80,   1.85E-006, 
 13.90,   2.04E-006, 
 14.00,   2.14E-006, 
 14.10,   1.96E-006, 
 14.20,   1.18E-006, 
 14.30,   5.72E-008, 
 14.40,   2.35E-008, 
 14.50,   4.60E-008, 
 14.60,   1.75E-007, 
 14.70,   4.90E-007, 
 14.80,   6.38E-007, 
 14.90,   6.98E-007, 
 15.00,   7.88E-007, 
 15.10,   7.23E-007, 
 15.20,   5.34E-007, 
 15.30,   5.33E-008, 
 15.40,   1.80E-008, 
 15.50,   4.66E-008, 
 15.60,   2.25E-007, 
 15.70,   4.86E-007, 
 15.80,   5.96E-007, 
 15.90,   6.62E-007, 
 16.00,   6.77E-007, 
 16.10,   6.12E-007, 
 16.20,   3.34E-007, 
 16.30,   2.48E-008, 
 16.40,   1.58E-008, 
 16.50,   4.68E-008, 
 16.60,   2.31E-007, 
 16.70,   4.97E-007, 
 16.80,   5.93E-007, 
 16.90,   6.51E-007, 
 17.00,   6.71E-007, 
 17.10,   6.30E-007, 
 17.20,   3.44E-007, 
 17.30,   3.55E-008, 
 17.40,   6.39E-008, 
 17.50,   2.05E-007, 
 17.60,   9.43E-007, 
 17.70,   2.13E-006, 
 17.80,   2.53E-006, 
 17.90,   2.77E-006, 
 18.00,   2.79E-006, 
 18.10,   2.65E-006, 
 18.20,   1.40E-006, 
 18.30,   4.21E-008, 
 18.40,   8.56E-009, 
 18.50,   7.28E-009, 
 18.60,   2.80E-008, 
 18.70,   7.60E-008, 
 18.80,   9.44E-008, 
 18.90,   1.02E-007, 
 19.00,   1.06E-007, 
 19.10,   1.00E-007, 
 19.20,   5.94E-008, 
