Jan 01, 2004  04:33:22 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   9.78E-010, 
  1.10,   1.29E-009, 
  1.20,   2.84E-009, 
  1.30,   4.30E-008, 
  1.40,   1.99E-008, 
  1.50,   8.20E-009, 
  1.60,   8.70E-009, 
  1.70,   1.57E-008, 
  1.80,   4.44E-008, 
  1.90,   7.28E-008, 
  2.00,   9.73E-008, 
  2.10,   9.13E-008, 
  2.20,   8.24E-008, 
  2.30,   5.92E-008, 
  2.40,   1.29E-008, 
  2.50,   2.28E-009, 
  2.60,   9.52E-010, 
  2.70,   5.09E-010, 
  2.80,   3.65E-010, 
  2.90,   2.80E-010, 
  3.00,   5.45E-010, 
  3.10,   6.92E-010, 
  3.20,   7.20E-010, 
  3.30,   6.49E-010, 
  3.40,   4.07E-010, 
  3.50,   1.09E-010, 
  3.60,   3.21E-012, 
  3.70,  -7.33E-011, 
  3.80,  -7.78E-011, 
  3.90,  -9.19E-011, 
  4.00,  -6.36E-011, 
  4.10,  -6.56E-011, 
  4.20,  -9.83E-011, 
  4.30,  -9.13E-011, 
  4.40,  -9.13E-011, 
  4.50,  -8.93E-011, 
  4.60,  -1.11E-010, 
  4.70,  -1.43E-010, 
  4.80,  -1.27E-010, 
  4.90,  -1.63E-010, 
  5.00,  -1.33E-010, 
  5.10,  -9.83E-011, 
  5.20,  -7.01E-011, 
  5.30,  -5.33E-011, 
  5.40,  -5.27E-011, 
  5.50,  -2.38E-011, 
  5.60,  -1.41E-011, 
  5.70,  -6.43E-011, 
  5.80,  -5.59E-011, 
  5.90,  -1.86E-011, 
  6.00,  -4.43E-011, 
  6.10,  -1.80E-011, 
  6.20,   9.00E-012, 
  6.30,  -6.43E-013, 
  6.40,  -1.67E-011, 
  6.50,  -1.29E-012, 
  6.60,  -4.50E-012, 
  6.70,   9.64E-012, 
  6.80,  -2.51E-011, 
  6.90,  -1.09E-011, 
  7.00,  -2.31E-011, 
  7.10,  -1.99E-011, 
  7.20,   6.43E-013, 
  7.30,  -4.50E-012, 
  7.40,   3.86E-012, 
  7.50,  -1.48E-011, 
  7.60,  -3.86E-012, 
  7.70,   9.64E-012, 
  7.80,   1.03E-011, 
  7.90,   2.38E-011, 
  8.00,   3.21E-012, 
  8.10,   9.00E-012, 
  8.20,   1.61E-011, 
  8.30,   1.22E-010, 
  8.40,   1.03E-011, 
  8.50,   2.76E-011, 
  8.60,   3.66E-011, 
  8.70,   2.19E-011, 
  8.80,   2.25E-011, 
  8.90,  -1.80E-011, 
  9.00,  -5.27E-011, 
  9.10,  -6.68E-011, 
  9.20,  -6.62E-011, 
  9.30,  -7.20E-011, 
  9.40,  -9.38E-011, 
  9.50,  -7.26E-011, 
  9.60,  -6.23E-011, 
  9.70,  -6.43E-011, 
  9.80,  -4.50E-011, 
  9.90,  -2.70E-011, 
 10.00,   3.21E-012, 
 10.10,   0.00E+000, 
 10.20,  -2.06E-011, 
 10.30,  -2.76E-011, 
 10.40,  -7.71E-012, 
 10.50,  -1.86E-011, 
 10.60,  -2.70E-011, 
 10.70,  -6.23E-011, 
 10.80,  -7.46E-011, 
 10.90,  -7.33E-011, 
 11.00,  -5.46E-011, 
 11.10,  -5.33E-011, 
 11.20,  -5.40E-011, 
 11.30,   3.86E-012, 
 11.40,   8.29E-011, 
 11.50,   2.64E-010, 
 11.60,   1.22E-009, 
 11.70,   7.78E-009, 
 11.80,   1.50E-008, 
 11.90,   1.85E-008, 
 12.00,   2.01E-008, 
 12.10,   1.92E-008, 
 12.20,   1.48E-008, 
 12.30,   5.21E-009, 
 12.40,   1.68E-009, 
 12.50,   9.57E-010, 
 12.60,   1.37E-009, 
 12.70,   5.92E-009, 
 12.80,   1.19E-008, 
 12.90,   1.49E-008, 
 13.00,   1.60E-008, 
 13.10,   1.55E-008, 
 13.20,   1.24E-008, 
 13.30,   5.64E-009, 
 13.40,   3.67E-009, 
 13.50,   7.59E-009, 
 13.60,   4.80E-008, 
 13.70,   1.63E-007, 
 13.80,   2.08E-007, 
 13.90,   2.20E-007, 
 14.00,   2.33E-007, 
 14.10,   2.09E-007, 
 14.20,   1.45E-007, 
 14.30,   1.66E-008, 
 14.40,   3.63E-009, 
 14.50,   3.49E-009, 
 14.60,   1.14E-008, 
 14.70,   5.88E-008, 
 14.80,   8.69E-008, 
 14.90,   9.76E-008, 
 15.00,   9.82E-008, 
 15.10,   9.25E-008, 
 15.20,   7.25E-008, 
 15.30,   1.80E-008, 
 15.40,   3.92E-009, 
 15.50,   4.94E-009, 
 15.60,   2.70E-008, 
 15.70,   9.49E-008, 
 15.80,   1.28E-007, 
 15.90,   1.33E-007, 
 16.00,   1.39E-007, 
 16.10,   1.24E-007, 
 16.20,   8.52E-008, 
 16.30,   1.42E-008, 
 16.40,   5.94E-009, 
 16.50,   1.35E-008, 
 16.60,   8.53E-008, 
 16.70,   2.23E-007, 
 16.80,   2.91E-007, 
 16.90,   2.88E-007, 
 17.00,   2.99E-007, 
 17.10,   2.60E-007, 
 17.20,   1.69E-007, 
 17.30,   2.11E-008, 
 17.40,   1.91E-008, 
 17.50,   5.61E-008, 
 17.60,   3.22E-007, 
 17.70,   7.85E-007, 
 17.80,   1.03E-006, 
 17.90,   9.94E-007, 
 18.00,   1.03E-006, 
 18.10,   8.78E-007, 
 18.20,   5.37E-007, 
 18.30,   2.83E-008, 
 18.40,   3.95E-009, 
 18.50,   1.89E-009, 
 18.60,   2.28E-009, 
 18.70,   7.08E-009, 
 18.80,   1.22E-008, 
 18.90,   1.38E-008, 
 19.00,   1.38E-008, 
 19.10,   1.26E-008, 
 19.20,   9.69E-009, 
