Jan 01, 2004  04:12:08 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.09E-010, 
  1.10,   1.64E-010, 
  1.20,   6.65E-010, 
  1.30,   1.53E-008, 
  1.40,   7.74E-009, 
  1.50,   2.90E-009, 
  1.60,   2.75E-009, 
  1.70,   5.72E-009, 
  1.80,   1.77E-008, 
  1.90,   3.06E-008, 
  2.00,   3.62E-008, 
  2.10,   3.44E-008, 
  2.20,   3.13E-008, 
  2.30,   2.16E-008, 
  2.40,   5.63E-009, 
  2.50,   1.60E-009, 
  2.60,   7.27E-010, 
  2.70,   3.23E-010, 
  2.80,   1.49E-010, 
  2.90,   1.66E-010, 
  3.00,   1.27E-010, 
  3.10,   7.52E-011, 
  3.20,   6.36E-011, 
  3.30,   5.53E-011, 
  3.40,   3.98E-011, 
  3.50,   7.07E-012, 
  3.60,  -3.08E-011, 
  3.70,  -2.89E-011, 
  3.80,  -4.88E-011, 
  3.90,  -4.37E-011, 
  4.00,  -3.15E-011, 
  4.10,  -3.15E-011, 
  4.20,   5.78E-012, 
  4.30,  -3.02E-011, 
  4.40,  -3.08E-011, 
  4.50,  -4.69E-011, 
  4.60,  -3.73E-011, 
  4.70,  -2.12E-011, 
  4.80,  -5.01E-011, 
  4.90,  -3.98E-011, 
  5.00,  -4.24E-011, 
  5.10,  -3.73E-011, 
  5.20,  -4.95E-011, 
  5.30,  -7.46E-011, 
  5.40,  -7.52E-011, 
  5.50,  -4.88E-011, 
  5.60,  -3.86E-011, 
  5.70,  -3.41E-011, 
  5.80,  -4.37E-011, 
  5.90,  -6.04E-011, 
  6.00,  -7.07E-011, 
  6.10,  -8.35E-011, 
  6.20,  -8.29E-011, 
  6.30,  -4.82E-011, 
  6.40,  -1.16E-011, 
  6.50,   1.35E-011, 
  6.60,  -4.50E-012, 
  6.70,   5.78E-012, 
  6.80,   1.93E-012, 
  6.90,  -2.96E-011, 
  7.00,  -4.50E-011, 
  7.10,  -4.63E-011, 
  7.20,  -7.26E-011, 
  7.30,  -9.38E-011, 
  7.40,  -5.59E-011, 
  7.50,  -9.32E-011, 
  7.60,  -8.93E-011, 
  7.70,  -9.58E-011, 
  7.80,  -7.46E-011, 
  7.90,  -6.30E-011, 
  8.00,  -4.76E-011, 
  8.10,  -3.98E-011, 
  8.20,  -5.59E-011, 
  8.30,  -5.33E-011, 
  8.40,  -5.21E-011, 
  8.50,  -3.41E-011, 
  8.60,  -4.05E-011, 
  8.70,  -2.96E-011, 
  8.80,  -9.64E-012, 
  8.90,  -2.51E-011, 
  9.00,  -4.82E-011, 
  9.10,  -1.74E-011, 
  9.20,  -2.76E-011, 
  9.30,  -1.54E-011, 
  9.40,   1.35E-011, 
  9.50,  -4.11E-011, 
  9.60,  -3.41E-011, 
  9.70,  -5.27E-011, 
  9.80,  -8.03E-011, 
  9.90,  -5.27E-011, 
 10.00,  -7.07E-011, 
 10.10,  -9.06E-011, 
 10.20,  -6.88E-011, 
 10.30,  -4.63E-011, 
 10.40,  -1.54E-011, 
 10.50,  -1.86E-011, 
 10.60,  -1.29E-012, 
 10.70,   4.05E-011, 
 10.80,   9.00E-012, 
 10.90,  -6.43E-013, 
 11.00,  -1.16E-011, 
 11.10,  -4.50E-012, 
 11.20,   1.41E-011, 
 11.30,   9.00E-012, 
 11.40,   2.63E-011, 
 11.50,   1.61E-011, 
 11.60,   1.25E-010, 
 11.70,   8.12E-010, 
 11.80,   1.61E-009, 
 11.90,   2.21E-009, 
 12.00,   2.56E-009, 
 12.10,   2.67E-009, 
 12.20,   2.24E-009, 
 12.30,   1.17E-009, 
 12.40,   5.19E-010, 
 12.50,   2.73E-010, 
 12.60,   1.01E-010, 
 12.70,   1.21E-010, 
 12.80,   1.68E-010, 
 12.90,   2.91E-010, 
 13.00,   3.85E-010, 
 13.10,   4.00E-010, 
 13.20,   3.51E-010, 
 13.30,   2.94E-010, 
 13.40,   3.22E-010, 
 13.50,   6.60E-010, 
 13.60,   3.17E-009, 
 13.70,   1.67E-008, 
 13.80,   2.42E-008, 
 13.90,   2.69E-008, 
 14.00,   2.81E-008, 
 14.10,   2.49E-008, 
 14.20,   1.71E-008, 
 14.30,   4.05E-009, 
 14.40,   1.41E-009, 
 14.50,   7.71E-010, 
 14.60,   6.41E-010, 
 14.70,   1.34E-009, 
 14.80,   2.43E-009, 
 14.90,   3.23E-009, 
 15.00,   3.55E-009, 
 15.10,   3.58E-009, 
 15.20,   3.09E-009, 
 15.30,   1.68E-009, 
 15.40,   9.36E-010, 
 15.50,   9.95E-010, 
 15.60,   3.36E-009, 
 15.70,   1.69E-008, 
 15.80,   2.46E-008, 
 15.90,   2.62E-008, 
 16.00,   2.67E-008, 
 16.10,   2.43E-008, 
 16.20,   1.68E-008, 
 16.30,   4.32E-009, 
 16.40,   2.15E-009, 
 16.50,   3.28E-009, 
 16.60,   2.04E-008, 
 16.70,   6.65E-008, 
 16.80,   8.18E-008, 
 16.90,   8.46E-008, 
 17.00,   8.61E-008, 
 17.10,   7.50E-008, 
 17.20,   4.37E-008, 
 17.30,   7.16E-009, 
 17.40,   5.10E-009, 
 17.50,   1.35E-008, 
 17.60,   8.79E-008, 
 17.70,   2.36E-007, 
 17.80,   2.78E-007, 
 17.90,   2.82E-007, 
 18.00,   2.83E-007, 
 18.10,   2.49E-007, 
 18.20,   1.35E-007, 
 18.30,   9.13E-009, 
 18.40,   2.22E-009, 
 18.50,   1.06E-009, 
 18.60,   7.78E-010, 
 18.70,   1.10E-009, 
 18.80,   1.52E-009, 
 18.90,   1.82E-009, 
 19.00,   1.96E-009, 
 19.10,   1.92E-009, 
