Jan 01, 2004  05:44:18 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   3.48E-010, 
  1.10,   2.63E-009, 
  1.20,   1.86E-008, 
  1.30,   1.50E-007, 
  1.40,   5.31E-008, 
  1.50,   1.96E-008, 
  1.60,   1.14E-008, 
  1.70,   1.19E-008, 
  1.80,   2.35E-008, 
  1.90,   3.22E-008, 
  2.00,   4.19E-008, 
  2.10,   4.83E-008, 
  2.20,   4.47E-008, 
  2.30,   3.59E-008, 
  2.40,   8.08E-009, 
  2.50,  -8.10E-011, 
  2.60,  -1.22E-009, 
  2.70,  -1.28E-009, 
  2.80,  -1.28E-009, 
  2.90,  -1.28E-009, 
  3.00,  -1.28E-009, 
  3.10,  -1.22E-009, 
  3.20,  -9.61E-010, 
  3.30,  -7.50E-010, 
  3.40,  -9.58E-010, 
  3.50,  -1.22E-009, 
  3.60,  -1.28E-009, 
  3.70,  -1.28E-009, 
  3.80,  -1.28E-009, 
  3.90,  -1.28E-009, 
  4.00,  -1.28E-009, 
  4.10,  -1.28E-009, 
  4.20,  -1.28E-009, 
  4.30,  -1.28E-009, 
  4.40,  -1.28E-009, 
  4.50,  -1.28E-009, 
  4.60,  -1.28E-009, 
  4.70,  -1.28E-009, 
  4.80,  -1.21E-009, 
  4.90,  -1.11E-009, 
  5.00,  -9.74E-010, 
  5.10,  -9.01E-010, 
  5.20,  -8.04E-010, 
  5.30,  -7.38E-010, 
  5.40,  -6.67E-010, 
  5.50,  -6.14E-010, 
  5.60,  -5.84E-010, 
  5.70,  -5.70E-010, 
  5.80,  -5.14E-010, 
  5.90,  -4.56E-010, 
  6.00,  -4.42E-010, 
  6.10,  -4.25E-010, 
  6.20,  -4.03E-010, 
  6.30,  -3.95E-010, 
  6.40,  -3.55E-010, 
  6.50,  -3.46E-010, 
  6.60,  -3.68E-010, 
  6.70,  -3.59E-010, 
  6.80,  -3.48E-010, 
  6.90,  -3.25E-010, 
  7.00,  -3.25E-010, 
  7.10,  -3.10E-010, 
  7.20,  -2.71E-010, 
  7.30,  -3.16E-010, 
  7.40,  -3.01E-010, 
  7.50,  -2.75E-010, 
  7.60,  -2.42E-010, 
  7.70,  -2.38E-010, 
  7.80,  -2.26E-010, 
  7.90,  -1.74E-010, 
  8.00,  -1.99E-010, 
  8.10,  -2.07E-010, 
  8.20,  -1.86E-010, 
  8.30,  -1.81E-010, 
  8.40,  -1.75E-010, 
  8.50,  -1.63E-010, 
  8.60,  -1.42E-010, 
  8.70,  -6.94E-011, 
  8.80,  -4.31E-011, 
  8.90,  -6.04E-011, 
  9.00,  -7.07E-011, 
  9.10,  -7.13E-011, 
  9.20,  -9.77E-011, 
  9.30,  -9.90E-011, 
  9.40,  -1.18E-010, 
  9.50,  -9.58E-011, 
  9.60,  -8.48E-011, 
  9.70,  -6.75E-011, 
  9.80,  -4.43E-011, 
  9.90,  -3.73E-011, 
 10.00,  -2.83E-011, 
 10.10,   6.43E-013, 
 10.20,   4.31E-011, 
 10.30,   2.44E-011, 
 10.40,   7.01E-011, 
 10.50,   8.61E-011, 
 10.60,   1.14E-010, 
 10.70,   2.31E-010, 
 10.80,   3.43E-010, 
 10.90,   4.44E-010, 
 11.00,   6.23E-010, 
 11.10,   9.67E-010, 
 11.20,   1.63E-009, 
 11.30,   3.27E-009, 
 11.40,   8.73E-009, 
 11.50,   3.16E-008, 
 11.60,   1.82E-007, 
 11.70,   3.56E-007, 
 11.80,   4.06E-007, 
 11.90,   4.70E-007, 
 12.00,   5.24E-007, 
 12.10,   4.85E-007, 
 12.20,   3.36E-007, 
 12.30,   3.37E-008, 
 12.40,   2.26E-008, 
 12.50,   6.31E-008, 
 12.60,   3.22E-007, 
 12.70,   6.82E-007, 
 12.80,   8.17E-007, 
 12.90,   9.66E-007, 
 13.00,   1.10E-006, 
 13.10,   9.87E-007, 
 13.20,   6.50E-007, 
 13.30,   4.67E-008, 
 13.40,   1.10E-008, 
 13.50,   2.30E-008, 
 13.60,   1.27E-007, 
 13.70,   2.47E-007, 
 13.80,   2.86E-007, 
 13.90,   3.23E-007, 
 14.00,   3.56E-007, 
 14.10,   3.28E-007, 
 14.20,   2.11E-007, 
 14.30,   1.75E-008, 
 14.40,   6.05E-009, 
 14.50,   1.11E-008, 
 14.60,   5.38E-008, 
 14.70,   1.42E-007, 
 14.80,   1.76E-007, 
 14.90,   1.95E-007, 
 15.00,   2.24E-007, 
 15.10,   2.10E-007, 
 15.20,   1.61E-007, 
 15.30,   2.20E-008, 
 15.40,   5.47E-009, 
 15.50,   9.76E-009, 
 15.60,   5.47E-008, 
 15.70,   1.07E-007, 
 15.80,   1.21E-007, 
 15.90,   1.34E-007, 
 16.00,   1.40E-007, 
 16.10,   1.30E-007, 
 16.20,   7.59E-008, 
 16.30,   9.84E-009, 
 16.40,   6.33E-009, 
 16.50,   2.03E-008, 
 16.60,   1.19E-007, 
 16.70,   2.17E-007, 
 16.80,   2.40E-007, 
 16.90,   2.53E-007, 
 17.00,   2.81E-007, 
 17.10,   2.90E-007, 
 17.20,   1.92E-007, 
 17.30,   5.96E-008, 
 17.40,   7.80E-008, 
 17.50,   1.53E-007, 
 17.60,   5.41E-007, 
 17.70,   9.33E-007, 
 17.80,   1.03E-006, 
 17.90,   1.07E-006, 
 18.00,   1.18E-006, 
 18.10,   1.14E-006, 
 18.20,   6.15E-007, 
 18.30,   3.67E-008, 
 18.40,   2.32E-008, 
 18.50,   3.58E-008, 
 18.60,   1.16E-007, 
 18.70,   2.00E-007, 
 18.80,   2.22E-007, 
 18.90,   2.23E-007, 
 19.00,   2.40E-007, 
 19.10,   2.33E-007, 
