Jan 01, 2004  05:16:45 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   8.61E-011, 
  1.10,   1.77E-010, 
  1.20,   9.25E-010, 
  1.30,   1.61E-008, 
  1.40,   6.42E-009, 
  1.50,   2.94E-009, 
  1.60,   3.34E-009, 
  1.70,   8.19E-009, 
  1.80,   2.21E-008, 
  1.90,   3.21E-008, 
  2.00,   3.79E-008, 
  2.10,   3.41E-008, 
  2.20,   3.07E-008, 
  2.30,   2.04E-008, 
  2.40,   4.92E-009, 
  2.50,   1.50E-009, 
  2.60,   6.94E-010, 
  2.70,   4.09E-010, 
  2.80,   1.87E-010, 
  2.90,   1.29E-010, 
  3.00,   7.52E-011, 
  3.10,   9.90E-011, 
  3.20,   9.83E-011, 
  3.30,   8.42E-011, 
  3.40,   4.76E-011, 
  3.50,   2.25E-011, 
  3.60,   1.03E-011, 
  3.70,  -2.06E-011, 
  3.80,  -3.02E-011, 
  3.90,  -4.37E-011, 
  4.00,  -1.93E-012, 
  4.10,  -2.57E-011, 
  4.20,  -2.63E-011, 
  4.30,  -4.95E-011, 
  4.40,  -7.33E-011, 
  4.50,  -6.17E-011, 
  4.60,  -2.63E-011, 
  4.70,  -1.35E-011, 
  4.80,   8.35E-012, 
  4.90,  -6.43E-013, 
  5.00,  -3.47E-011, 
  5.10,  -2.31E-011, 
  5.20,  -3.92E-011, 
  5.30,  -7.07E-012, 
  5.40,  -1.16E-011, 
  5.50,  -3.21E-012, 
  5.60,   1.41E-011, 
  5.70,   1.16E-011, 
  5.80,  -7.71E-012, 
  5.90,  -5.78E-012, 
  6.00,   1.74E-011, 
  6.10,   3.28E-011, 
  6.20,  -1.54E-011, 
  6.30,  -1.86E-011, 
  6.40,  -2.25E-011, 
  6.50,  -2.70E-011, 
  6.60,  -2.63E-011, 
  6.70,  -9.00E-012, 
  6.80,   4.24E-011, 
  6.90,   4.18E-011, 
  7.00,   2.57E-011, 
  7.10,   1.16E-011, 
  7.20,   3.86E-012, 
  7.30,  -1.80E-011, 
  7.40,  -1.93E-012, 
  7.50,  -7.07E-012, 
  7.60,  -1.61E-011, 
  7.70,  -1.99E-011, 
  7.80,  -1.54E-011, 
  7.90,   4.50E-012, 
  8.00,   3.60E-011, 
  8.10,   2.51E-011, 
  8.20,  -1.93E-012, 
  8.30,  -2.51E-011, 
  8.40,  -3.86E-012, 
  8.50,   5.85E-011, 
  8.60,   7.39E-011, 
  8.70,   1.05E-010, 
  8.80,   8.42E-011, 
  8.90,   3.15E-011, 
  9.00,   5.40E-011, 
  9.10,   3.86E-011, 
  9.20,   8.35E-012, 
  9.30,   6.43E-013, 
  9.40,   1.74E-011, 
  9.50,  -3.21E-012, 
  9.60,   1.29E-011, 
  9.70,   9.64E-012, 
  9.80,  -1.61E-011, 
  9.90,  -1.74E-011, 
 10.00,  -1.93E-011, 
 10.10,  -2.12E-011, 
 10.20,  -2.51E-011, 
 10.30,  -6.43E-012, 
 10.40,   2.89E-011, 
 10.50,   1.80E-011, 
 10.60,   1.48E-011, 
 10.70,   3.41E-011, 
 10.80,   3.98E-011, 
 10.90,   4.50E-011, 
 11.00,  -4.50E-012, 
 11.10,  -2.38E-011, 
 11.20,  -1.16E-011, 
 11.30,   1.61E-011, 
 11.40,   3.02E-011, 
 11.50,   3.92E-011, 
 11.60,   2.67E-010, 
 11.70,   1.10E-009, 
 11.80,   2.04E-009, 
 11.90,   2.69E-009, 
 12.00,   3.06E-009, 
 12.10,   2.95E-009, 
 12.20,   2.33E-009, 
 12.30,   1.14E-009, 
 12.40,   5.61E-010, 
 12.50,   2.76E-010, 
 12.60,   1.95E-010, 
 12.70,   4.12E-010, 
 12.80,   4.92E-010, 
 12.90,   6.13E-010, 
 13.00,   6.86E-010, 
 13.10,   7.40E-010, 
 13.20,   6.75E-010, 
 13.30,   4.63E-010, 
 13.40,   4.64E-010, 
 13.50,   9.14E-010, 
 13.60,   4.98E-009, 
 13.70,   1.93E-008, 
 13.80,   2.46E-008, 
 13.90,   2.69E-008, 
 14.00,   2.83E-008, 
 14.10,   2.44E-008, 
 14.20,   1.56E-008, 
 14.30,   3.47E-009, 
 14.40,   1.32E-009, 
 14.50,   7.44E-010, 
 14.60,   9.04E-010, 
 14.70,   2.29E-009, 
 14.80,   3.69E-009, 
 14.90,   4.55E-009, 
 15.00,   5.06E-009, 
 15.10,   4.95E-009, 
 15.20,   3.98E-009, 
 15.30,   1.97E-009, 
 15.40,   1.13E-009, 
 15.50,   1.36E-009, 
 15.60,   6.05E-009, 
 15.70,   2.27E-008, 
 15.80,   2.83E-008, 
 15.90,   2.94E-008, 
 16.00,   3.04E-008, 
 16.10,   2.71E-008, 
 16.20,   1.72E-008, 
 16.30,   4.11E-009, 
 16.40,   2.37E-009, 
 16.50,   4.11E-009, 
 16.60,   2.83E-008, 
 16.70,   6.88E-008, 
 16.80,   8.02E-008, 
 16.90,   8.11E-008, 
 17.00,   8.31E-008, 
 17.10,   7.18E-008, 
 17.20,   3.72E-008, 
 17.30,   6.58E-009, 
 17.40,   6.25E-009, 
 17.50,   1.80E-008, 
 17.60,   1.15E-007, 
 17.70,   2.30E-007, 
 17.80,   2.58E-007, 
 17.90,   2.57E-007, 
 18.00,   2.62E-007, 
 18.10,   2.30E-007, 
 18.20,   1.03E-007, 
 18.30,   6.76E-009, 
 18.40,   2.14E-009, 
 18.50,   1.21E-009, 
 18.60,   1.02E-009, 
 18.70,   1.46E-009, 
 18.80,   1.94E-009, 
 18.90,   2.21E-009, 
 19.00,   2.23E-009, 
 19.10,   2.13E-009, 
 19.20,   1.64E-009, 
 19.30,   8.26E-010, 
