Jan 01, 2004  04:51:55 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   2.19E-011, 
  1.10,   1.61E-010, 
  1.20,   9.27E-010, 
  1.30,   1.02E-008, 
  1.40,   4.28E-009, 
  1.50,   2.45E-009, 
  1.60,   3.29E-009, 
  1.70,   9.53E-009, 
  1.80,   2.59E-008, 
  1.90,   3.57E-008, 
  2.00,   4.08E-008, 
  2.10,   3.66E-008, 
  2.20,   3.21E-008, 
  2.30,   1.88E-008, 
  2.40,   3.88E-009, 
  2.50,   1.33E-009, 
  2.60,   6.74E-010, 
  2.70,   3.73E-010, 
  2.80,   1.78E-010, 
  2.90,   1.39E-010, 
  3.00,   1.05E-010, 
  3.10,   8.42E-011, 
  3.20,   8.80E-011, 
  3.30,   9.64E-011, 
  3.40,   6.36E-011, 
  3.50,   1.16E-011, 
  3.60,   5.14E-012, 
  3.70,   3.21E-011, 
  3.80,   2.19E-011, 
  3.90,  -2.89E-011, 
  4.00,  -3.92E-011, 
  4.10,  -4.05E-011, 
  4.20,   4.50E-012, 
  4.30,   1.09E-011, 
  4.40,   3.34E-011, 
  4.50,   7.07E-012, 
  4.60,   3.08E-011, 
  4.70,   3.98E-011, 
  4.80,   1.03E-011, 
  4.90,   9.00E-012, 
  5.00,   1.61E-011, 
  5.10,   2.76E-011, 
  5.20,   2.96E-011, 
  5.30,   1.22E-011, 
  5.40,  -1.29E-012, 
  5.50,  -6.43E-012, 
  5.60,  -5.78E-012, 
  5.70,   1.93E-012, 
  5.80,   6.43E-012, 
  5.90,   2.19E-011, 
  6.00,   3.86E-012, 
  6.10,   2.25E-011, 
  6.20,   3.15E-011, 
  6.30,   6.43E-012, 
  6.40,  -6.43E-012, 
  6.50,   2.89E-011, 
  6.60,   2.89E-011, 
  6.70,   3.21E-011, 
  6.80,   3.34E-011, 
  6.90,   3.15E-011, 
  7.00,   3.02E-011, 
  7.10,   3.53E-011, 
  7.20,   1.61E-011, 
  7.30,   3.86E-012, 
  7.40,   9.00E-012, 
  7.50,   1.29E-012, 
  7.60,   1.29E-012, 
  7.70,   4.50E-012, 
  7.80,   3.79E-011, 
  7.90,   5.72E-011, 
  8.00,   2.70E-011, 
  8.10,   1.93E-011, 
  8.20,   1.22E-011, 
  8.30,   7.71E-012, 
  8.40,   3.02E-011, 
  8.50,   1.86E-011, 
  8.60,   4.11E-011, 
  8.70,   2.96E-011, 
  8.80,   3.28E-011, 
  8.90,   5.01E-011, 
  9.00,   3.86E-012, 
  9.10,   2.12E-011, 
  9.20,   3.79E-011, 
  9.30,   2.70E-011, 
  9.40,   3.66E-011, 
  9.50,   2.25E-011, 
  9.60,   1.99E-011, 
  9.70,   1.03E-011, 
  9.80,   1.29E-011, 
  9.90,   1.22E-011, 
 10.00,   6.43E-013, 
 10.10,  -1.03E-011, 
 10.20,  -1.22E-011, 
 10.30,  -1.09E-011, 
 10.40,  -2.38E-011, 
 10.50,  -3.15E-011, 
 10.60,  -3.47E-011, 
 10.70,  -2.57E-011, 
 10.80,  -4.82E-011, 
 10.90,  -2.83E-011, 
 11.00,  -2.76E-011, 
 11.10,  -2.63E-011, 
 11.20,   1.48E-011, 
 11.30,   3.98E-011, 
 11.40,   6.68E-011, 
 11.50,   8.48E-011, 
 11.60,   3.61E-010, 
 11.70,   1.20E-009, 
 11.80,   1.96E-009, 
 11.90,   2.55E-009, 
 12.00,   2.87E-009, 
 12.10,   2.71E-009, 
 12.20,   2.05E-009, 
 12.30,   9.60E-010, 
 12.40,   4.99E-010, 
 12.50,   2.67E-010, 
 12.60,   2.09E-010, 
 12.70,   3.60E-010, 
 12.80,   4.35E-010, 
 12.90,   4.65E-010, 
 13.00,   4.65E-010, 
 13.10,   4.94E-010, 
 13.20,   4.84E-010, 
 13.30,   3.89E-010, 
 13.40,   4.16E-010, 
 13.50,   9.81E-010, 
 13.60,   6.40E-009, 
 13.70,   2.11E-008, 
 13.80,   2.61E-008, 
 13.90,   2.84E-008, 
 14.00,   2.93E-008, 
 14.10,   2.47E-008, 
 14.20,   1.34E-008, 
 14.30,   2.88E-009, 
 14.40,   1.16E-009, 
 14.50,   6.95E-010, 
 14.60,   8.64E-010, 
 14.70,   2.10E-009, 
 14.80,   3.38E-009, 
 14.90,   4.19E-009, 
 15.00,   4.49E-009, 
 15.10,   4.28E-009, 
 15.20,   3.30E-009, 
 15.30,   1.58E-009, 
 15.40,   9.72E-010, 
 15.50,   1.25E-009, 
 15.60,   6.16E-009, 
 15.70,   2.04E-008, 
 15.80,   2.54E-008, 
 15.90,   2.65E-008, 
 16.00,   2.72E-008, 
 16.10,   2.37E-008, 
 16.20,   1.31E-008, 
 16.30,   3.35E-009, 
 16.40,   2.37E-009, 
 16.50,   4.82E-009, 
 16.60,   3.55E-008, 
 16.70,   7.33E-008, 
 16.80,   8.36E-008, 
 16.90,   8.37E-008, 
 17.00,   8.51E-008, 
 17.10,   7.02E-008, 
 17.20,   2.87E-008, 
 17.30,   5.42E-009, 
 17.40,   5.93E-009, 
 17.50,   1.93E-008, 
 17.60,   1.26E-007, 
 17.70,   2.45E-007, 
 17.80,   2.87E-007, 
 17.90,   2.88E-007, 
 18.00,   2.95E-007, 
 18.10,   2.43E-007, 
 18.20,   7.96E-008, 
 18.30,   5.14E-009, 
 18.40,   1.78E-009, 
 18.50,   9.49E-010, 
 18.60,   8.35E-010, 
 18.70,   1.27E-009, 
 18.80,   1.70E-009, 
 18.90,   2.02E-009, 
 19.00,   2.09E-009, 
 19.10,   1.98E-009, 
 19.20,   1.38E-009, 
 19.30,   6.92E-010, 
 19.40,   3.86E-010, 
