Mode;ramp
Ua;Ie
0,14;81,52
0,29;81,52
0,43;81,68
0,57;81,92
0,71;82,32
0,86;82,80
1,00;83,20
1,14;83,44
1,29;83,44
1,43;83,28
1,57;83,12
1,71;82,80
1,86;82,64
2,00;82,80
2,14;82,96
2,29;83,28
2,43;83,76
2,57;84,16
2,71;84,73
2,86;85,21
3,00;85,93
3,14;86,57
3,29;87,13
3,43;87,69
3,57;88,33
3,71;89,13
3,86;89,61
4,00;90,26
4,14;90,98
4,29;91,62
4,43;92,18
4,57;92,74
4,71;93,22
4,86;93,62
5,00;94,02
5,14;94,26
5,29;94,58
5,43;94,74
5,57;94,74
5,71;94,58
5,86;94,42
6,00;94,26
6,14;94,02
6,29;93,62
6,43;93,22
6,57;92,26
6,71;91,06
6,86;89,45
7,00;88,01
7,14;86,73
7,29;85,69
7,43;85,05
7,57;84,65
7,71;84,48
7,86;84,32
8,00;84,32
8,14;84,40
8,29;84,48
8,43;84,65
8,57;84,81
8,71;85,13
8,86;85,45
9,00;85,77
9,14;86,09
9,29;86,57
9,43;87,05
9,57;87,53
9,71;88,09
9,86;88,81
10,00;89,53
10,14;90,26
10,29;91,06
10,43;92,02
10,57;92,98
10,71;94,10
10,86;95,23
11,00;96,43
11,14;97,55
11,29;98,59
11,43;99,15
11,57;98,83
11,71;97,71
11,86;95,95
12,00;93,86
12,14;91,94
12,29;90,18
12,43;88,73
12,57;87,61
12,71;86,97
12,86;86,65
13,00;86,49
13,14;86,49
13,29;86,57
13,43;86,81
13,57;87,13
13,71;87,61
13,86;88,17
14,00;88,73
14,14;89,45
14,29;90,18
14,43;91,06
14,57;91,94
14,71;92,90
14,86;93,94
15,00;95,07
15,14;96,27
15,29;97,55
15,43;99,07
15,57;100,52
15,71;102,12
15,86;103,80
16,00;105,41
16,14;106,93
16,29;107,81
16,43;108,13
16,57;107,33
16,71;105,73
16,86;103,56
17,00;101,24
17,14;98,83
17,29;96,51
17,43;94,42
17,57;92,74
17,71;91,46
17,86;90,58
18,00;89,86
18,14;89,53
18,29;89,53
18,43;89,70
18,57;89,94
18,71;90,34
18,86;90,98
19,00;91,62
19,14;92,50
19,29;93,38
19,43;94,42
19,57;95,55
19,71;96,75
19,86;98,19
20,00;99,55
20,14;101,24
20,29;102,92
20,43;104,68
20,57;106,61
20,71;108,61
20,86;110,70
21,00;112,78
21,14;114,54
21,29;115,75
21,43;116,15
21,57;115,67
21,71;114,70
21,86;113,10
22,00;111,02
22,14;108,61
22,29;106,05
22,43;103,56
22,57;101,40
22,71;99,47
22,86;97,71
23,00;96,51
23,14;95,63
23,29;95,07
23,43;94,74
23,57;94,74
23,71;94,91
23,86;95,39
24,00;95,87
24,14;96,67
24,29;97,47
24,43;98,51
24,57;99,71
24,71;101,00
24,86;102,52
25,00;104,12
25,14;105,89
25,29;107,81
25,43;109,89
25,57;112,14
25,71;114,38
25,86;116,63
26,00;118,87
26,14;120,80
26,29;122,40
26,43;123,36
26,57;123,76
26,71;123,60
26,86;122,96
27,00;121,68
27,14;119,91
27,29;117,83
27,43;115,67
27,57;113,58
27,71;111,42
27,86;109,49
28,00;107,81
28,14;106,53
28,29;105,41
28,43;104,60
28,57;103,96
28,71;103,72
28,86;103,72
29,00;103,72
29,14;104,04
29,29;104,52
29,43;105,17
29,57;106,05
29,71;107,01
29,86;108,13
30,00;109,57
30,14;111,10
30,29;112,78
30,43;114,70
30,57;116,63
30,71;118,71
30,86;120,96
31,00;123,04
31,14;124,96
31,29;126,73
31,43;128,33
31,57;129,53
31,71;130,41
31,86;130,90
32,00;130,90
32,14;130,57
32,29;130,09
32,43;129,45
32,57;128,65
32,71;127,85
32,86;127,13
33,00;126,73
33,14;126,25
33,29;126,09
33,43;125,93
33,57;126,01
33,71;126,25
33,86;126,41
34,00;126,73
34,14;127,21
34,29;128,01
34,43;129,13
34,57;130,74
34,71;133,38
34,86;138,19
35,00;144,76
35,14;153,34
35,29;163,92
35,43;164,00
35,57;164,00
35,71;164,00
35,86;164,00
36,00;164,00
36,14;164,00
36,29;164,00
36,43;164,00
36,57;164,00
36,71;164,00
36,86;164,00
37,00;164,00
37,14;164,00
37,29;164,00
37,43;164,00
37,57;164,00
37,71;164,00
37,86;164,00
38,00;164,00
38,14;164,00
38,29;164,00
38,43;164,00
38,57;164,00
38,71;164,00
38,86;164,00
39,00;164,00
39,14;164,00
39,29;164,00
39,43;164,00
39,57;164,00
39,71;164,00
39,86;164,00
40,00;164,00
40,14;164,00
40,29;164,00
40,43;164,00
40,57;164,00
40,71;164,00
40,86;164,00
41,00;164,00
41,14;164,00
41,29;164,00
41,43;164,00
41,57;164,00
41,71;164,00
41,86;164,00
42,00;164,00
42,14;164,00
42,29;164,00
42,43;164,00
42,57;164,00
42,71;164,00
42,86;164,00
43,00;164,00
43,14;164,00
43,29;164,00
43,43;164,00
43,57;164,00
43,71;164,00
43,86;164,00
44,00;164,00
44,14;164,00
44,29;164,00
44,43;164,00
44,57;164,00
44,71;164,00
44,86;164,00
45,00;164,00
45,14;164,00
45,29;164,00
45,43;164,00
45,57;164,00
45,71;164,00
45,86;164,00
46,00;164,00
46,14;164,00
46,29;164,00
46,43;164,00
46,57;164,00
46,71;164,00
46,86;164,00
47,00;164,00
47,14;164,00
47,29;164,00
47,43;164,00
47,57;164,00
47,71;164,00
47,86;164,00
48,00;164,00
48,14;164,00
48,29;164,00
48,43;164,00
48,57;164,00
48,71;164,00
48,86;164,00
49,00;164,00
49,14;164,00
49,29;164,00
49,43;164,00
49,57;164,00
49,71;164,00
49,86;164,00
50,00;164,00
50,14;164,00
50,29;164,00
50,43;164,00
50,57;164,00
50,71;164,00
50,86;164,00
51,00;164,00
51,14;164,00
51,29;164,00
51,43;164,00
51,57;164,00
51,71;164,00
51,86;164,00
52,00;164,00
52,14;164,00
52,29;164,00
52,43;164,00
52,57;164,00
52,71;164,00
52,86;164,00
53,00;164,00
53,14;164,00
53,29;164,00
53,43;164,00
53,57;164,00
53,71;164,00
53,86;164,00
54,00;164,00
54,14;164,00
54,29;164,00
54,43;164,00
54,57;164,00
54,71;164,00
54,86;164,00
55,00;164,00
55,14;164,00
55,29;164,00
55,43;164,00
55,57;164,00
55,71;164,00
55,86;164,00
56,00;164,00
56,14;164,00
56,29;164,00
56,43;164,00
56,57;164,00
56,71;164,00
56,86;164,00
57,00;164,00
57,14;164,00
57,29;164,00
57,43;164,00
57,57;164,00
57,71;164,00
57,86;164,00
58,00;164,00
58,14;164,00
58,29;164,00
58,43;164,00
58,57;164,00
58,71;164,00
58,86;164,00
59,00;164,00
59,14;164,00
59,29;164,00
59,43;164,00
59,57;164,00
59,71;164,00
59,86;164,00
60,00;164,00
60,14;164,00
60,29;164,00
60,43;164,00
60,57;164,00
60,71;164,00
60,86;164,00
61,00;164,00
61,14;164,00
61,29;164,00
61,43;164,00
61,57;164,00
61,71;164,00
61,86;164,00
62,00;164,00
62,14;164,00
62,29;164,00
62,43;164,00
62,57;164,00
62,71;164,00
62,86;164,00
63,00;164,00
63,14;164,00
63,29;164,00
63,43;164,00
63,57;164,00
63,71;164,00
63,86;164,00
64,00;164,00
64,14;164,00
64,29;164,00
64,43;164,00
64,57;164,00
64,71;164,00
64,86;164,00
65,00;164,00
65,14;164,00
65,29;164,00
65,43;164,00
65,57;164,00
65,71;164,00
65,86;164,00
66,00;164,00
66,14;164,00
66,29;164,00
66,43;164,00
66,57;164,00
66,71;164,00
66,86;164,00
67,00;164,00
67,14;164,00
67,29;164,00
67,43;164,00
67,57;164,00
67,71;164,00
67,86;164,00
68,00;164,00
68,14;164,00
68,29;164,00
68,43;164,00
68,57;164,00
68,71;164,00
68,86;164,00
69,00;164,00
69,14;164,00
69,29;164,00
69,43;164,00
69,57;164,00
69,71;164,00
69,86;164,00
70,00;164,00
70,14;164,00
70,29;164,00
70,43;164,00
70,57;164,00
70,71;164,00
70,86;164,00
71,00;164,00
71,14;164,00
71,29;164,00
71,43;164,00
71,57;164,00
71,71;164,00
71,86;164,00
72,00;164,00
72,14;164,00
72,29;164,00
72,43;164,00
72,57;164,00
72,71;164,00
72,86;164,00
73,00;164,00
73,14;164,00
73,29;164,00
73,43;164,00
73,57;164,00
73,71;164,00
73,86;164,00
74,00;164,00
74,14;164,00
74,29;164,00
74,43;164,00
74,57;164,00
74,71;164,00
74,86;164,00
75,00;164,00
75,14;164,00
75,29;164,00
75,43;164,00
75,57;164,00
75,71;164,00
75,86;164,00
76,00;164,00
76,14;164,00
76,29;164,00
76,43;164,00
76,57;164,00
76,71;164,00
76,86;164,00
77,00;164,00
77,14;164,00
77,29;164,00
77,43;164,00
77,57;164,00
77,71;164,00
77,86;164,00
78,00;164,00
78,14;164,00
78,29;164,00
78,43;164,00
78,57;164,00
78,71;164,00
78,86;164,00
79,00;164,00
79,14;164,00
79,29;164,00
79,43;164,00
79,57;164,00
79,71;164,00
79,86;164,00
80,00;164,00
