Profile 1;Profile 1;
x;y;
[m];[m];
0;3.7591935e-09;
4.0483477e-09;4.563149e-09;
8.0966954e-09;5.9948514e-09;
1.2145043e-08;7.2892101e-09;
1.6193391e-08;7.5397572e-09;
2.0241739e-08;7.663005e-09;
2.4290086e-08;7.5152364e-09;
2.8338434e-08;7.9443893e-09;
3.2386782e-08;8.707057e-09;
3.6435129e-08;8.2605039e-09;
4.0483477e-08;8.121506e-09;
4.4531825e-08;8.5203561e-09;
4.8580173e-08;8.4253058e-09;
5.262852e-08;8.4885175e-09;
5.6676868e-08;8.5643981e-09;
6.0725216e-08;8.5005493e-09;
6.4773563e-08;7.7764219e-09;
6.8821911e-08;6.2450849e-09;
7.2870259e-08;4.1830498e-09;
7.6918607e-08;3.4776717e-09;
8.0966954e-08;3.8852622e-09;
8.5015302e-08;4.9949327e-09;
8.906365e-08;6.4063361e-09;
9.3111997e-08;6.9829404e-09;
9.7160345e-08;7.1118512e-09;
1.0120869e-07;7.5547006e-09;
1.0525704e-07;7.6383349e-09;
1.0930539e-07;7.6146215e-09;
1.1335374e-07;8.2456088e-09;
1.1740208e-07;8.4815608e-09;
1.2145043e-07;8.6002839e-09;
1.2549878e-07;8.7926116e-09;
1.2954713e-07;9.0490656e-09;
1.3359547e-07;8.8984109e-09;
1.3764382e-07;8.3330853e-09;
1.4169217e-07;8.8242266e-09;
1.4574052e-07;8.7094738e-09;
1.4978887e-07;8.0774125e-09;
1.5383721e-07;7.3285858e-09;
1.5788556e-07;6.0540674e-09;
1.6193391e-07;4.2809677e-09;
1.6598226e-07;4.7731874e-09;
1.700306e-07;6.1599753e-09;
1.7407895e-07;6.9614945e-09;
1.781273e-07;7.24034e-09;
1.8217565e-07;7.4733936e-09;
1.8622399e-07;8.1996424e-09;
1.9027234e-07;8.4844163e-09;
1.9432069e-07;8.9988413e-09;
1.9836904e-07;9.3123081e-09;
2.0241739e-07;9.3733821e-09;
2.0646573e-07;9.3279586e-09;
2.1051408e-07;9.3021899e-09;
2.1456243e-07;9.4854602e-09;
2.1861078e-07;9.4057557e-09;
2.2265912e-07;9.2043514e-09;
2.2670747e-07;9.1530273e-09;
2.3075582e-07;9.0331548e-09;
2.3480417e-07;8.7587592e-09;
2.3885252e-07;8.1174815e-09;
2.4290086e-07;7.3066993e-09;
2.4694921e-07;6.1786943e-09;
2.5099756e-07;5.0680864e-09;
2.5504591e-07;5.1577584e-09;
2.5909425e-07;5.6573724e-09;
2.631426e-07;6.1967431e-09;
2.6719095e-07;7.5302887e-09;
2.712393e-07;7.8615981e-09;
2.7528764e-07;8.0393245e-09;
2.7933599e-07;8.2807658e-09;
2.8338434e-07;8.403544e-09;
2.8743269e-07;8.171106e-09;
2.9148104e-07;8.1371681e-09;
2.9552938e-07;8.6848642e-09;
2.9957773e-07;8.7373809e-09;
3.0362608e-07;8.5360861e-09;
3.0767443e-07;8.4209577e-09;
3.1172277e-07;8.3203962e-09;
3.1577112e-07;8.4190345e-09;
3.1981947e-07;8.4238204e-09;
3.2386782e-07;7.5719982e-09;
3.2791617e-07;7.2125633e-09;
3.3196451e-07;6.8825084e-09;
3.3601286e-07;6.0362033e-09;
3.4006121e-07;5.0291948e-09;
3.4410956e-07;4.2572587e-09;
3.481579e-07;4.3950431e-09;
3.5220625e-07;4.908711e-09;
3.562546e-07;5.5447231e-09;
3.6030295e-07;6.4565548e-09;
3.6435129e-07;7.0489442e-09;
3.6839964e-07;7.2898555e-09;
3.7244799e-07;7.7133516e-09;
3.7649634e-07;7.7539465e-09;
3.8054469e-07;7.7158299e-09;
3.8459303e-07;8.3823362e-09;
3.8864138e-07;8.3761542e-09;
3.9268973e-07;8.5634626e-09;
3.9673808e-07;8.3577242e-09;
4.0078642e-07;8.1736552e-09;
4.0483477e-07;8.0572313e-09;
4.0888312e-07;8.3495459e-09;
4.1293147e-07;8.8071016e-09;
4.1697981e-07;8.0737028e-09;
4.2102816e-07;7.8647188e-09;
4.2507651e-07;7.2097571e-09;
4.2912486e-07;6.767491e-09;
4.3317321e-07;6.7830457e-09;
4.3722155e-07;6.5570591e-09;
4.412699e-07;5.4639751e-09;
4.4531825e-07;5.0840931e-09;
4.493666e-07;3.3604298e-09;
4.5341494e-07;2.6177442e-09;
4.5746329e-07;3.8533623e-09;
4.6151164e-07;5.6112743e-09;
4.6555999e-07;6.3604458e-09;
4.6960834e-07;6.7385153e-09;
4.7365668e-07;6.8546416e-09;
4.7770503e-07;7.4020161e-09;
4.8175338e-07;7.6420889e-09;
4.8580173e-07;7.4221176e-09;
4.8985007e-07;6.9303529e-09;
4.9389842e-07;7.1208117e-09;
4.9794677e-07;7.4204293e-09;
5.0199512e-07;7.5090796e-09;
5.0604346e-07;7.1173179e-09;
5.1009181e-07;6.94145e-09;
5.1414016e-07;7.6095256e-09;
5.1818851e-07;7.4820062e-09;
5.2223686e-07;7.2108249e-09;
5.262852e-07;7.7700521e-09;
5.3033355e-07;8.1022456e-09;
5.343819e-07;8.0384121e-09;
5.3843025e-07;8.6892195e-09;
5.4247859e-07;7.3518387e-09;
5.4652694e-07;6.8685862e-09;
5.5057529e-07;6.806708e-09;
5.5462364e-07;6.6367149e-09;
5.5867198e-07;6.3670798e-09;
